SchoolName,DataID
BOY MULLER PRIMÊRE SKOOL,MSWIIVC86V
BRACKEN HILL EK PRIMÊRE SKOOL,BNAPTAL8PP
BRACKENFELL HOËRSKOOL,GOM961GS9Q
BRACKENFELL PRIMARY SCHOOL,04P541TDT4
BRAKFONTEIN EK PRIMÊRE SKOOL,7Y2CTWD55J
BRAMBLE WAY PRIMARY SCHOOL,MFBNPHQH6N
BRANDENBURG PRIMÊRE SKOOL,BMW4WGJMW6
BRANDWACHT NGK PRIMÊRE SKOOL,Z47SSG7JKW
BREDASDORP HOËRSKOOL,KVY6ACVZRK
BREDASDORP PRIMARY SCHOOL,PTYTIXO9SW
BREEDE VALLEY SCHOOL OF SKILLS,XUHFFDNPW3
BREËRIVIER HOËRSKOOL,JQ85V7GC0V
BREERIVIER LAERSKOOL,W8VSQ8GEGC
BREEVLEI PRIMÊRE SKOOL,IXO7UMT16R
BRIDGETOWN SECONDARY,QNFF69QYTZ
BRIDGEVILLE PRIMARY SCHOOL,09UD84LMH2
BRIDGTON SEKONDÊR,8T7FI30V1A
BRITSEVLAKTE NGK PRIMÊRE SKOOL,EA76ZDILOS
BRITSUM NGK PRIMÊRE SKOOL,YGS429T5RN
BROOKLANDS PRIMARY SCHOOL,XQWG98Q107
BRUCKNER DE VILLIERS PRIMÊRE SKOOL,T44618OS59
BUCK ROAD PRIMARY SCHOOL,57WDOBRF4Q
BUFFELJAGSRIVIER LAERSKOOL,WZ89EE42UA
BUFFELSKLOOF SSKV PRIMÊRE SKOOL,U9OGI3YSX0
BULUMKO SECONDARY SCHOOL,Q8R36AWN7T
BUREN HOËRSKOOL,AKKVVQC5YG
C.L. WILMOT PRIMARY SCHOOL,H8R1RS2CTA
CAFDA SCHOOL OF SKILLS,LCSXMG8PJN
CALITZDORP HOËRSKOOL,81KJWWIOVI
CAMPS BAY HIGH SCHOOL,D0BTJ618KU
CAMPS BAY PRIMARY SCHOOL,P6OXCYK4ZB
"CAPE ACADEMY FOR MATHS, SCIENCE AND TECHNOLOGY",D50Y3EGW9M
CAPE TOWN HIGH SCHOOL,O3DU9GD8LM
CAPRICORN PRIMARY SCHOOL,FCOACYD5YX
CARADALE PRIMARY SCHOOL,Q8DAYKTLF8
CARAVELLE PRIMARY SCHOOL,G0C1TA00MA
CAREL DU TOIT SENTRUM,B4C5IW94YT
CARL SCHREVE (MOR) PRIMÊRE SKOOL,E18V5U51MM
CARPE DIEM SKOOL,5DC70QQ0O5
CASCADE PRIMARY SCHOOL,4WTS6ONRX9
CATHKIN SECONDARY SCHOOL,FB3I1STQS3
CAVALLERIA PRIMARY SCHOOL,07KFFS0480
CECIL ROAD PRIMARY SCHOOL,WVI9IKVOMH
CEDAR PRIMARY SCHOOL,JCQP583V0P
CEDAR SECONDARY SCHOOL,UIL5CDN55Z
CEDERBERG ACADEMY,KAZ91G1L0F
CENTRAL PARK PRIMARY SCHOOL,G2YOAX6ZPP
CENTRE OF SCIENCE AND TECHNOLOGY,ACA163W23C
CERES PRIMÊRE SKOOL,UOAGFMF5WH
CERES SEKONDÊR,7ANYZARYBQ
CHAPEL STREET PRIMARY SCHOOL,IDKG5F0SZY
CHARLESTON HILL PRIMARY SCHOOL,T3WYUQMQ0L
CHARLESTON HILL SEKONDÊR,C83JZYSOFD
CHARLIE HOFMEYR HOËRSKOOL,A8V81C4U4I
CHATSWORTH AME PRIMARY SCHOOL,5L2554C7UF
CHERE BOTHA SKOOL,9HI0DA3OPQ
CHRIS HANI SECONDARY SCHOOL,I3U1K84TCA
CHRIS NISSEN PRIMARY SCHOOL,6MSTJSLILA
CHRISTIAN DAVID MOR PRIMÊRE SKOOL,HBHKRG3VP8
CHRISTMAS TINTO PRIMARY SCHOOL,8WWFGCHAV0
CHUMA PUBLIC PRIMARY SCHOOL,EMAJCW2STZ
CHUMISA PRIMARY SCHOOL,EFLZL9D3CE
CITRUSDAL PRIMÊRE SKOOL,QX8O5E3KXV
CLANWILLIAM SEKONDÊR,HPJJEXK1HB
CLAREMONT HIGH SCHOOL,EZ01G6JDH3
CLAREMONT PRIMARY SCHOOL,YE2IIBO2IR
CLARKE PRIMÊRE SKOOL,S45V6UN2D3
CLOETESVILLE HOËRSKOOL,PBUK1VRBHE
CLOETESVILLE PRIMÊRE SKOOL,25T20HHM3L
COLRIDGE PRIMÊRE SKOOL,ML9T2BS93J
CONCORDIA HIGH SCHOOL,MM55OUCAOG
CONCORDIA NGK PRIMÊRE SKOOL,PSHTXCTQ8C
CONCORDIA PRIMÊRE SKOOL,4Z2FOYQTRY
CONSTANTIA PRIMARY SCHOOL,Q2D2C9PMC4
CONVILLE PRIMARY SCHOOL,G7EM1T8KGD
CORNFLOWER PRIMARY SCHOOL,OHBJ9KKDLA
COURTRAI PRIMARY SCHOOL,QVLT88TELB
CRAVENBY SECONDARY SCHOOL,NO24WJUUBA
CRESTWAY SECONDARY SCHOOL,LW73FBDZ4O
CRYSTAL SEKONDÊR,RA5ZCO345U
CYPRESS PRIMARY SCHOOL,Q1PS844S1H
D.F. MALAN HOËRSKOOL,M72J82QVW5
DAGBREEK LAERSKOOL,OD5UXTZ00U
DAGBREEK PRIMARY SCHOOL,FXA2WHNFAM
DAL JOSAPHAT PRIMÊRE SKOOL,4FMH7SEGVA
DALUBUHLE PRIMARY SCHOOL,6ZNEPDICOG
DALWEIDE PRIMÊRE SKOOL,DST2JFSJHL
DANIE ACKERMANN PRIMARY SCHOOL,RYKZJCREOW
DANIEL LE ROUX PRIMÊRE SKOOL,NKFFLP1152
DANKOORD VGK PRIMÊRE SKOOL,58BBIJGTQM
DARLING HIGH SCHOOL,1QB9RO6TYF
DARLING LAERSKOOL,V9EXQVL753
DE DOORNS PRIMARY SCHOOL,GC2FEAOZHS
DE GRENDEL SPESIALE SKOOL,ICT5HL6BYQ
DE HEIDE PRIMARY SCHOOL,QLIM8RN2W1
DE HOOP LAERSKOOL,MT0YOPL710
DE JAGER VGK PRIMÊRE SKOOL,N1GWQ2E5M4
DE KRUINE SEKONDÊR,A3AXLGXLN9
DE KUILEN HOËRSKOOL,OUSDLXX9BB
DE KUILEN PRIMARY SCHOOL,ETY7RMJPJO
DE LA BAT-SKOOL,196JWM51RB
DE MEUL NGK PRIMÊRE SKOOL,7H8ID77OLW
DE RUST FUTURA AKADEMIE,Y8GGRMW4MP
DE RUST PRIMÊRE SKOOL,2L7F06Y4F9
DE RUST SEKONDÊR,RQS5A79DSA
DE TUINEN PRIMÊRE SKOOL,QIGL10VIJE
DE TYGER LAERSKOOL,ZG4X4YPJAH
DE VILLIERS GRAAFF HOËRSKOOL,VC6EEXLBMH
DE VILLIERS GRAAFF PRIMARY SCHOOL,W4GOD3FBDG
DE VILLIERS LAERSKOOL,DBF2OR6X12
DE VILLIERS PRIMÊRE SKOOL,L1ZA2I5VW5
DE VRIJE ZEE PRIMARY SCHOOL,4JOKUOVOYK
DE WAALVILLE PRIMÊRE SKOOL,3WNE0CBVWP
DE WAVEREN PRIMARY SCHOOL,8CE9N5EA7Q
DELFT HIGH SCHOOL,VEKB9B6I92
DELFT PRIMARY SCHOOL,VL46HRX4HN
DELFT TECHNICAL HIGH SCHOOL,QIQ50TKS5G
DELFT-NORTH PRIMARY SCHOOL,WIK5PR2GFF
DELFT-SOUTH PRIMARY SCHOOL,NGJ0QLSBAU
DELLVILLE PARK PRIMARY SCHOOL,X4EIFDQZ3S
DELTA PRIMARY SCHOOL,SZ5D227WS9
DENNEGEUR NGK PRIMÊRE SKOOL (OVERBERG),WJSLRY9T5A
DENNEGEUR PRIMARY SCHOOL (STRANDFONTEIN),J8DE1ZWBM7
DENNEMERE PRIMARY SCHOOL,3PZ54T8T1N
DENNEOORD LAERSKOOL,9WCOCXCPOJ
DENNEPRAG PRIMÊRE SKOOL,AWSIHCYSZ9
DESMOND MPILO TUTU SECONDARY SCHOOL,31CDJS4SXQ
DEVONVALLEI PRIMÊRE SKOOL,36RK0QA34Y
DIAZ PRIMÊRE SKOOL,XCECNMYDK0
DIAZVILLE HOËRSKOOL,Q5Z7XULTTJ
DIAZVILLE PRIMARY SCHOOL,8PTHJQ6VHQ
DIE BRON PRIMARY SCHOOL,VXXY535R2M
DIE DUINE PRIMARY SCHOOL,E0ERY00010
DIE EIKE VGK PRIMÊRE SKOOL,GB5GEYJXX8
DIEPKLOOF VGK PRIMÊRE SKOOL,OFW4KHF618
DIEPRIVIER VGK PRIMÊRE SKOOL,ACKKTYZUU3
DIETRICH MOR PRIMÊRE SKOOL,C1QHJW4KIC
DIRK BOSHOFF PRIMÊRE SKOOL,ZYQYH016V7
DIRKIE UYS HOËRSKOOL,5G9IGCZ518
DIRKIE UYS LAERSKOOL,0WCPMZYRR0
DISA PRIMARY SCHOOL (BONTEHEUWEL),4128XRV6E8
DISA PRIMARY SCHOOL (HOUT BAY),9099XOIOV4
DOMINIKAANSE SKOOL VIR DOWES,DQXKKFFQCM
DORINGBAAI PRIMÊRE SKOOL,J9LA8QMOBL
DOROTHEA SPESIALE SKOOL,G3E40I15CD
DOUGLAS ROAD PRIMARY SCHOOL,M5KHLJK5CO
DOWNEVILLE PRIMARY SCHOOL,D25BF2QAB0
DR. G.J. JOUBERT PRIMÊRE SKOOL,J6SMZ45TQD
DR. NELSON R. MANDELA HIGH SCHOOL,B2S47PIPQ8
DR. VAN DER ROSS PRIMARY SCHOOL,ZQE1Z7D0TU
DRAKENSTEIN PRIMÊRE SKOOL,OO8N1Y0DXN
DRIEFONTEIN NGK PRIMÊRE SKOOL,NJZNW8OM2V
DROSTDY HTS.,7PD8NLU7RE
DROSTDY SSKV PRIMÊRE SKOOL,3J0O0KLAB3
DRYDEN STREET PRIMARY SCHOOL,0MVE1UFO5K
DU NOON PRIMARY SCHOOL,YG1X1IERLF
DUNESIDE PRIMARY SCHOOL,ZIU4Y0LPC1
DURBANVILLE HOËRSKOOL,8EB0LJGESQ
DURBANVILLE PRIMARY SCHOOL,XCWFOAFNRT
DURBANVILLE VOORBEREIDINGSKOOL,AG88XODE0J
DYSSELSDORP PRIMÊRE SKOOL,Q8RYANMOY3
DYSSELSDORP SEKONDÊR,O0YQPGO3LR
E. A. JANARI PRIMARY SCHOOL,EKKIKVLHGS
E.J. MALGARTE PRIMÊRE SKOOL,D345PLDTG8
EASTER PEAK PRIMARY SCHOOL,H9P0MMHGM4
EASTVILLE PRIMARY SCHOOL,36P71K49Q8
EBEN DONGES HOËRSKOOL,BNO0DBEASR
EBENEZER PRIMARY SCHOOL,DC8J6XUT56
EBENHAESER PRIMÊRE SKOOL,CU34639UN3
EDEN PRIMARY SCHOOL,EDHSWVNH7H
EDEN SKOOL,F0UVQSBM9L
EDEN TECHNICAL HIGH SCHOOL,56DFSJZYMP
EDENDALE PRIMÊRE SKOOL,BEFRWCHTJ3
EDGEMEAD HIGH SCHOOL,TE5EEV7ADZ
EDGEMEAD PRIMARY SCHOOL,WAG1ML37TD
EDISON CENTURY CITY HIGH SCHOOL,VKKLJO21T8
EDWARD PRIMARY SCHOOL,92DY9XB5B8
EENDEKUIL PRIMÊRE SKOOL,IFV3XTC0J2
EERSTERIVIER SEKONDÊR,ZGH5NBFVHL
EIKENDAL PRIMARY SCHOOL,7YEE1J97Y8
EIKESTAD LAERSKOOL,UDCNI9LOCP
EILANDIA NGK PRIMÊRE SKOOL,DTVNKYUY92
EINDHOVEN PRIMARY SCHOOL,CKYILLSCPX
EISLEBEN ROAD PRIMARY SCHOOL,6C33ARJCMU
EKUTHULENI PRIMARY SCHOOL,FW1TD4V5F5
ELANDSFONTEIN NGK PRIMÊRE SKOOL,GHE9SOPXFW
ELANDSRIVIER NGK PRIMÊRE SKOOL,LP102IPGQY
ELDENE PRIMARY SCHOOL,5X12R3WX5F
ELIM MOR PRIMÊRE SKOOL,LMJY30CD21
ELIZABETHFONTEIN MOR PRIMÊRE SKOOL,SNT4LH6XNN
ELJADA-KAIROS SKOOL,OJL4C3GSGY
ELLERTON PRIMARY SCHOOL,QCQ7HX3N7M
ELNOR PRIMARY SCHOOL,6ZG1RZBO7N
ELSBURY PRIMARY SCHOOL,K6RI85AWYO
ELSIESRIVIER SEKONDÊR,XN7RZD1XW9
ELSWOOD PRIMÊRE SKOOL,YYD7DMHXAE
ELSWOOD SEKONDÊR,BTJWJMRZ65
ELUXOLWENI PRIMARY SCHOOL,C2QANPWJL6
EMIL WEDER SEKONDÊR,R7IZZ4WPR8
EMITHINI PRIMARY SCHOOL,2MIQFX8KG9
ENCOTSHENI PRIMARY SCHOOL,8AMUODT8L6
ENGELBRECHT NGK PRIMÊRE SKOOL,0KU8S4OK5X
ENKULULEKWENI PRIMARY SCHOOL,PTJ386O9KW
ENTSHONA PRIMARY SCHOOL,DIPTMX4AQU
ERICA PRIMARY SCHOOL,UNYVM3JP0S
ERIKA PRIMARY SCHOOL,GAFK4BB91F
EROSSKOOL,QZT0VV4P7D
ERRIE MOLLER NGK PRIMÊRE SKOOL,KTTQAYNALF
